Date,Employee Attrition,Recruit Officers,Number of Sworn Employees,Budgeted Positions Filled,Number of Vacancies,% Avg. Daily Staff Available (911),Accreditation Score,YTD % Change UCR,DUI Citations Issued,Traffic Accidents,Number of Traffic Accidents,# of Part 1 Crime,Criminal Cases Filed in Court,Crime Clearance Rates,Parking Cases Filed in Court,Traffic Cases Filed in Court,Average Speed to Answer Calls (sec),Overall Calls Received,Median Time Dispatch (All Calls),MT_POLICE_PERCENT_CALL_10_SEC,% False Alarms,CYTD % change 10 seconds Answer Time,CYTD % change 20 seconds Answer Time,"Median Officer Arrival Time (Dispatch to Arrival Time, All Calls)",Median Officer Arrival Time (High Priority 0-2),Median Time to  Dispatch (High Priority Calls),False Alarms cited,# of Calls Received,Avg % Daily Staff Availability,Avg Age of Open Cases,Avg Leave Days Per Month,Closed Cases,Closed Cases This Month,Compliance Resolution Cases,Inspections Conducted This Month,Median Time to Close,Total Open Cases,Tons of CO2e Greenhouse Gas Emissions (Annual)
Jul FY 12,19,6,1777,0.9,227,0.83%,,0,85,2173,3,3485,2098,0.636,2551,11689,,99957,10.13,0.92,0.77,0.02%,0.02%,9.41,7.16,2.54,0.61,15354,0.88%,257,2.41,478,478,507,1292,174,5344,
Aug FY 12,10,12,1775,0.89,230,0.83%,,0,66,2494,5,3223,2298,0.648,2194,14673,,96934,10.39,0.93,0.74,0.06%,0.05%,9.46,7.04,2.49,0.62,15835,0.88%,251.59,2.82,1062,584,524,1660,99,5565,
Sep FY 12,6,31,1798,0.9,203,0.83%,,0,87,1810,3,3108,2570,0.647,2960,18358,,89872,10.41,0.92,0.74,0.01%,0.02%,9.56,6.53,2.35,0.62,14804,0.86%,257.4,3.05,1757,695,558,1451,136,5440,
FY 12 Q2,34,88,5522,0.89333,149,,,-0.01,309,7400,5,9518,6148,0.653,7364,55140,,93868,8.74667,0.92667,0.735,0.01%,0.01%,9.34,6.54,2.415,,14293,0.87%,287.96667,2.66,3820,2063,616,4241,124.33333,4545,
Oct FY 12,16,36,1820,0.89,188,,,0,102,2737,2,3240,2236,0.652,3195,19762,,93868,9.14,0.91,0.73,0.01%,0.01%,9.39,6.51,2.44,,14293,0.87%,269.2,2.74,2396,639,578,1435,125,5268,
Nov FY 12,7,32,1846,0.9,157,,,-0.01,103,2164,1,3025,1707,0.654,2060,20873,,,8.52,0.95,0.74,,,9.29,6.57,2.39,,,0.87%,287.1,2.38,3011,615,591,1306,105,5040,
Dec FY 12,11,20,1856,0.89,149,,,-0.01,104,2499,2,3253,2205,0.653,2109,14505,,,8.58,0.92,,,,,,,,,0.87%,307.6,2.66,3820,809,616,1500,143,4545,
FY 12 Q3,33,65,5592,0.85,150,,,0.02,275,6179,7,7589,13351,0.65967,6677,53474,,93693,7.78667,0.91667,0.73,0.00%,0.00%,9.34,7.11,2.45,,15639,0.83%,318.63333,3.74,5221,1401,704,3415,175,4347,
Jan FY 12,10,7,1850,0.85,179,,,0.04,85,1615,3,2778,5323,0.658,2282,16124,,,7.43,0.92,,,,,,,,,0.93%,314.9,1.42,4344,524,672,1254,162,4392,
Feb FY 12,12,20,1858,0.85,174,,,0.03,108,2197,1,2140,4330,0.663,2127,19670,,,7.42,0.92,,,,,,,,,0.89%,322,2.21,4876,532,702,1342,192,4239,
Mar FY 12,11,38,1884,0.85,150,,,0.02,82,2367,3,2671,3698,0.658,2268,17680,,93693,8.51,0.91,0.73,0.00%,0.00%,9.34,7.11,2.45,,15639,0.83%,319,3.74,5221,345,704,819,171,4347,
Apr FY 12,10,27,1899,0.86,129,,,-0.01,86,2504,4,2847,2542,0.652,2502,19178,,92469,8.53,0.91,0.73,0.00%,0.00%,9.26,6.59,2.4,,15607,0.79%,309,4.43,5571,350,737,767,164,4566,
FY 12 Q4,39,78,5732,0.85333,112,,,-0.02,319,7510,7,9065,8263,0.65333,6965,52698,,297502,8.72,0.91,0.75,0.00%,0.00%,9.25,6.72667,2.39333,,47913,0.72%,301,5.94,6250,1029,780,2482,147.33333,5178,
May FY 12,15,34,1915,0.85,115,,,-0.02,98,2508,3,3126,3018,0.655,2220,18016,,102763,8.39,0.91,0.76,-0.01%,-0.01%,9.19,6.55,2.4,,16165,0.84%,303,3.55,5956,385,731,925,111,4796,
Jun FY 12,14,17,1918,0.85,112,,,-0.02,135,2498,0,3092,2703,0.653,2243,15504,,102270,9.24,0.91,0.76,0.00%,0.00%,9.3,7.04,2.38,,16141,0.72%,291,5.94,6250,294,780,790,167,5178,
FY 13,104,126,13476,0.85,61,,,-0.04,547,11669,18,14916,26471,0.64683,10273,81163,,555981,8.01556,0.94,0.72667,0.05%,0.04%,9.26111,6.74222,2.35,,113902,0.94%,294.66666,1.17,2925,2925,759,5886,201.5,4848,
FY 13 Q1,50,49,5751,0.83,80,,,-0.03,336,6951,12,9272,13457,0.65167,5782,44472,,297585,9.06,0.93333,0.73,0.04%,0.03%,9.38667,7.11,2.67,,50008,0.93%,297.33333,1.26,1563,1563,775,3291,197,5611,
Jul FY 13,9,6,1915,0.83,86,,,-0.03,100,2467,3,3146,4035,0.648,1873,17684,,105412,9.55,0.91,0.76,-0.01%,-0.01%,9.41,7.04,3.11,,16801,0.82%,305,3.71,443,443,773,837,216,4360,
Aug FY 13,27,22,1915,0.83,86,,,-0.02,127,2446,5,3228,4953,0.655,2047,15348,,99677,9.16,0.94,0.73,0.01%,0.01%,9.38,7.21,2.51,,17062,0.91%,308,2.1,961,518,545,1375,162,4953,
Sep FY 13,14,21,1921,0.83,80,,,-0.03,109,2038,4,2898,4469,0.652,1862,11440,,92496,8.47,0.95,0.7,0.04%,0.03%,9.37,7.08,2.39,,16145,0.93%,279,1.26,1563,602,775,1079,213,5611,
FY 13 Q2,39,57,5785,0.84,64,,,-0.04,211,4718,6,5644,13014,0.642,4491,36691,,258396,7.68667,0.94667,0.73,0.05%,0.04%,9.28667,6.63667,2.24,,47600,0.94%,292,1.17,2925,1362,759,2595,206,4848,
Oct FY 13,15,13,1918,0.84,82,,,-0.04,121,2567,5,2872,5213,0.639,1851,14595,,91300,8.33,0.97,0.72,0.05%,0.04%,9.34,7.04,2.33,,16621,0.90%,282,2.31,2286,723,767,1336,178,5951,
Nov FY 13,14,26,1930,0.84,71,,,-0.04,90,2151,1,2772,4075,0.645,1429,11365,,82241,7.29,0.93,0.74,,,9.41,6.44,2.1,,14991,0.94%,302,1.17,2925,639,759,1259,234,4848,
Dec FY 13,10,18,1937,0.84,64,,,,,,,,3726,,1211,10731,,84855,7.44,0.94,0.73,,,9.11,6.43,2.29,,15988,,,,,,,,,,
FY 13 Q3,15,20,1940,0.88,61,,,,,,,,,,,,,,7.3,0.94,0.72,,,9.11,6.48,2.14,,16294,,,,,,,,,,
Jan FY 13,15,20,1940,0.88,61,,,,,,,,,,,,,,7.3,0.94,0.72,,,9.11,6.48,2.14,,16294,,,,,,,,,,
